dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,frequency,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,9791914.46,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480301808,Skat Consulting,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,8564604.66,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",1764649.59,3839422.27,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,7700977.75,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,5986414.3,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,370246570,Pamiga Finance S.A. Compartment B,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,3750000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480779271,TC TEAM CONSULT SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,3452838,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,3414015,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,483130055,Financial Systems Development Services AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,2766105.95,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2012,312335412,Niras A/S,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,2600000,
