dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,frequency,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,480780782,Helvetas Swiss Intercooperation,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",,56378432.53,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,480486310,Swisscontact,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",,40729814.1,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,481726032,Konsortium Iteco / Intercooperation vertreten durch Iteco,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",,11550000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,480301808,Skat Consulting,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",,7033796.57,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw. ",72516.6,7625447.28,3688.85
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,483156464,Hochdorf Swiss Milk AG,1,Nahrungsmittel und Getränke,,6760221.91,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,537715778,Dorsch Internat. Consultants GmbH In Joint Venture with CBI,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur ",,5366424.75,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,480569508,Cremo SA,1,Nahrungsmittel und Getränke,,5121893.7,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,483961541,Emmi International Ltd,1,Nahrungsmittel und Getränke,,4720236.99,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2014,480272871,Nüssli (Schweiz) AG,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare ",,4585981.75,
