dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 EDA,1097 Informatik EDA,1112 BRZ
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",,20811.3,225798.59,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482653326,Dell SA,15.1,Hardware,,,1494081.9,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482653326,Dell SA,15.4,SW-Pflege und HW Wartung,,,370.8,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482272718,BUSINESS IT Fandiño,15.1,Hardware,,,1044181.9,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,482272718,BUSINESS IT Fandiño,15.4,SW-Pflege und HW Wartung,,,8270.3,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",16860,237.6,33126.5,16597
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,487360646,FS Communications GmbH Satellitenkommunikation,15.3,Telekommunikation,385.4,7683.6,98526.7,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,487360646,FS Communications GmbH Satellitenkommunikation,15.1,Hardware,,,26623.1,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,487360646,FS Communications GmbH Satellitenkommunikation,15.4,SW-Pflege und HW Wartung,,,14398.1,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2011,483508672,G+U Job4You GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,326345.15,
